ID;Name;Longitude_WGS84;Latitude_WGS84;AdmArea;District;RouteNumbers;StationName;Direction;Pavilion;OperatingOrgName;EntryState;global_id;PlaceDescription;Works;geodata_center;geoarea
Локальный идентификатор;Наименование;Долгота в WGS-84;Широта в WGS-84;Административный округ;Район;Маршруты;Название остановки;Направление;Наличие павильона;Балансодержатель павильона ожидания (пилона, табло, АПБ);Состояние записи;global_id;Описание места расположения объекта;Работы;geodata_center;geoarea
1000393;«Соколёнок», Варшавское шоссе (от центра) (1000393);37.0892814;55.2567041;Троицкий административный округ;поселение Роговское;"А303; А503; А1004";Соколёнок;от центра;да;ГУП «Мосгортранс»;активна;889142388;;;;
1000394;«Ул. Вострухина, 4», улица Вострухина (от центра) (1000394);37.79822384;55.71905192;Юго-Восточный административный округ;район Выхино-Жулебино;"А159; А551";Ул. Вострухина, 4;от центра;нет;;активна;889142389;ул. Вострухина, д.4, к.1;;;
1000398;«Косинская ул., 22», Косинская улица (в центр) (1000398);37.83209361;55.71775024;Восточный административный округ;район Вешняки;"А197; А821; А841; А872";Косинская ул., 22;в центр;нет;;активна;889142390;Косинская ул., д.22;;;
1000399;«Косинская ул., 22», Косинская улица (от центра) (1000399);37.83115185;55.71724198;Восточный административный округ;район Вешняки;А697;Косинская ул., 22;от центра;нет;;активна;889142392;Косинская ул., д.24, к.1;;;
1000400;«Камчатская ул.», Хабаровская улица (в центр) (1000400);37.82455422;55.82827233;Восточный административный округ;район Гольяново;"А68; А627; А627к; А1133";Камчатская ул.;в центр;нет;;активна;889142393;Хабаровская ул., д.27;;;
1000401;«Ул. Даниловский Вал», Дубининская улица (в центр) (1000401);37.63322468;55.71292283;Южный административный округ;Даниловский район;"Тм3; Тм26; Тм38; Тм39";Ул. Даниловский Вал;в центр;нет;;активна;889142394;Дубининская ул., д.71;;;
1000415;«Ул. Атласова», улица Атласова (в центр) (1000415);37.35556031;55.59813471;Новомосковский административный округ;поселение Московский;"А863; А879";Ул. Атласова;в центр;нет;;активна;889142402;;;;
1000417;«Бескудниковский бул., 10», Бескудниковский бульвар (от центра) (1000417);37.56284999;55.86001215;Северный административный округ;Бескудниковский район;"А114; А154; А167; А170; АМ40";Бескудниковский бул., 10;от центра;да;ГУП «Мосгортранс»;активна;889142404;Бескудниковский бульв., д.10, к.2;;;
1000424;«Центр спорта», Проектируемый проезд № 5562 (от центра) (1000424);37.34680012;55.5971644;Новомосковский административный округ;поселение Московский;"А189; А446; А866; А870; А876; А878; А879; А881; А890; АМЦ2";Центр спорта;от центра;да;ГУП «Мосгортранс»;активна;889142405;;;;
1000425;«Ул. Линии Октябрьской Ж.д., 10», улица Линии Октябрьской Железной Дороги (от центра) (1000425);37.56454225;55.84311322;Северный административный округ;Тимирязевский район;"А114; А123; А204; А282; АТ19";Ул. Линии Октябрьской Ж.д., 10;от центра;да;ГУП «Мосгортранс»;активна;889142406;ул. Линии Октябрьской Железной Дороги, д.8;;;
1000431;«Ул. Лефортовский Вал», Красноказарменная улица (от центра) (1000431);37.69843534;55.75744975;Юго-Восточный административный округ;район Лефортово;А730;Ул. Лефортовский Вал;от центра;нет;;активна;889142410;Красноказарменная ул., д.10;;;
