ID;Name;OnTerritoryOfMoscow;AdmArea;District;Longitude_WGS84;Latitude_WGS84;VestibuleType;NameOfStation;Line;CulturalHeritageSiteStatus;ModeOnEvenDays;ModeOnOddDays;FullFeaturedBPAAmount;LittleFunctionalBPAAmount;BPAAmount;RepairOfEscalators;ObjectStatus;global_id;geodata_center;geoarea
Локальный идентификатор;Наименование;На территории Москвы;Административный округ;Район;Долгота в WGS-84;Широта в WGS-84;Тип вестибюля;Станция метрополитена;Линия;Статус объекта культурного наследия;Режим работы по чётным дням;Режим работы по нечётным дням;Количество полнофункциональных БПА (все типы билетов);Количество малофункциональных БПА (билеты на 1 и 2 поездки);Общее количество БПА;Ремонт эскалаторов;Статус объекта;global_id;geodata_center;geoarea
1093;Некрасовка, вход-выход 11;да;Юго-Восточный административный округ;район Некрасовка;37.925329;55.704604;подземный;Некрасовка;Некрасовская линия;не является объектом культурного наследия;открытие в 05:30:00, закрытие в 01:00:00, первый поезд по 1 пути в 05:37:00, последний поезд по 1 пути в 01:03:00;открытие в 05:30:00, закрытие в 01:00:00, первый поезд по 1 пути в 05:37:00, последний поезд по 1 пути в 01:03:00;5;;5;;действует;929927037;"{""coordinates"":[37.925329,55.704604],""type"":""Point""}";
1094;Некрасовка, вход-выход 2;да;Юго-Восточный административный округ;район Некрасовка;37.930519;55.701930;подземный;Некрасовка;Некрасовская линия;не является объектом культурного наследия;открытие в 05:30:00, закрытие в 01:00:00, первый поезд по 1 пути в 05:37:00, последний поезд по 1 пути в 01:03:00;открытие в 05:30:00, закрытие в 01:00:00, первый поезд по 1 пути в 05:37:00, последний поезд по 1 пути в 01:03:00;5;;5;;действует;929927050;"{""coordinates"":[37.930519,55.70193],""type"":""Point""}";
1095;Некрасовка, вход-выход 3;да;Юго-Восточный административный округ;район Некрасовка;37.930165;55.701667;подземный;Некрасовка;Некрасовская линия;не является объектом культурного наследия;открытие в 05:30:00, закрытие в 01:00:00, первый поезд по 1 пути в 05:37:00, последний поезд по 1 пути в 01:03:00;открытие в 05:30:00, закрытие в 01:00:00, первый поезд по 1 пути в 05:37:00, последний поезд по 1 пути в 01:03:00;5;;5;;действует;929929844;"{""coordinates"":[37.930165,55.701667],""type"":""Point""}";
1096;Некрасовка, вход-выход 4;да;Юго-Восточный административный округ;район Некрасовка;37.928711;55.702406;подземный;Некрасовка;Некрасовская линия;не является объектом культурного наследия;открытие в 05:30:00, закрытие в 01:00:00, первый поезд по 1 пути в 05:37:00, последний поезд по 1 пути в 01:03:00;открытие в 05:30:00, закрытие в 01:00:00, первый поезд по 1 пути в 05:37:00, последний поезд по 1 пути в 01:03:00;5;;5;;действует;929929871;"{""coordinates"":[37.928711,55.702406],""type"":""Point""}";
1097;Некрасовка, вход-выход 5;да;Юго-Восточный административный округ;район Некрасовка;37.926917;55.703801;подземный;Некрасовка;Некрасовская линия;не является объектом культурного наследия;открытие в 05:30:00, закрытие в 01:00:00, первый поезд по 1 пути в 05:37:00, последний поезд по 1 пути в 01:03:00;открытие в 05:30:00, закрытие в 01:00:00, первый поезд по 1 пути в 05:37:00, последний поезд по 1 пути в 01:03:00;5;;5;;действует;929929894;"{""coordinates"":[37.926917,55.703801],""type"":""Point""}";
1098;Некрасовка, вход-выход 6;да;Юго-Восточный административный округ;район Некрасовка;37.926477;55.703486;подземный;Некрасовка;Некрасовская линия;не является объектом культурного наследия;открытие в 05:30:00, закрытие в 01:00:00, первый поезд по 1 пути в 05:37:00, последний поезд по 1 пути в 01:03:00;открытие в 05:30:00, закрытие в 01:00:00, первый поезд по 1 пути в 05:37:00, последний поезд по 1 пути в 01:03:00;5;;5;;действует;929929920;"{""coordinates"":[37.926477,55.703486],""type"":""Point""}";
1099;Некрасовка, вход-выход 7;да;Юго-Восточный административный округ;район Некрасовка;37.925678;55.703153;подземный;Некрасовка;Некрасовская линия;не является объектом культурного наследия;открытие в 05:30:00, закрытие в 01:00:00, первый поезд по 1 пути в 05:37:00, последний поезд по 1 пути в 01:03:00;открытие в 05:30:00, закрытие в 01:00:00, первый поезд по 1 пути в 05:37:00, последний поезд по 1 пути в 01:03:00;5;;5;;действует;929930292;"{""coordinates"":[37.925678,55.703153],""type"":""Point""}";
1100;Некрасовка, вход-выход 8;да;Юго-Восточный административный округ;район Некрасовка;37.925399;55.703280;подземный;Некрасовка;Некрасовская линия;не является объектом культурного наследия;открытие в 05:30:00, закрытие в 01:00:00, первый поезд по 1 пути в 05:37:00, последний поезд по 1 пути в 01:03:00;открытие в 05:30:00, закрытие в 01:00:00, первый поезд по 1 пути в 05:37:00, последний поезд по 1 пути в 01:03:00;5;;5;;действует;929930849;"{""coordinates"":[37.925399,55.70328],""type"":""Point""}";
1101;Некрасовка, вход-выход 9;да;Юго-Восточный административный округ;район Некрасовка;37.924573;55.703683;подземный;Некрасовка;Некрасовская линия;не является объектом культурного наследия;открытие в 05:30:00, закрытие в 01:00:00, первый поезд по 1 пути в 05:37:00, последний поезд по 1 пути в 01:03:00;открытие в 05:30:00, закрытие в 01:00:00, первый поезд по 1 пути в 05:37:00, последний поезд по 1 пути в 01:03:00;5;;5;;действует;929931462;"{""coordinates"":[37.924573,55.703683],""type"":""Point""}";
1102;Улица Дмитриевского, вход-выход 1;да;Восточный административный округ;район Косино-Ухтомский;37.877554;55.710814;подземный;улица Дмитриевского;Некрасовская линия;не является объектом культурного наследия;"открытие в 05:30:00, закрытие в 01:00:00, первый поезд по 1 пути в 05:35:00, по 2 пути в 05:44:00; последний поезд по 1 пути в 01:07:20, по 2 пути в 01:07:55";"открытие в 05:30:00, закрытие в 01:00:00, первый поезд по 1 пути в 05:35:00, по 2 пути в 05:44:00; последний поезд по 1 пути в 01:07:20, по 2 пути в 01:07:55";;;;;действует;929932310;"{""coordinates"":[37.877554,55.710814],""type"":""Point""}";
1103;Улица Дмитриевского, вход-выход 2;да;Восточный административный округ;район Косино-Ухтомский;37.878113;55.710847;подземный;улица Дмитриевского;Некрасовская линия;не является объектом культурного наследия;"открытие в 05:30:00, закрытие в 01:00:00, первый поезд по 1 пути в 05:35:00, по 2 пути в 05:44:00; последний поезд по 1 пути в 01:07:20, по 2 пути в 01:07:55";"открытие в 05:30:00, закрытие в 01:00:00, первый поезд по 1 пути в 05:35:00, по 2 пути в 05:44:00; последний поезд по 1 пути в 01:07:20, по 2 пути в 01:07:55";;;;;действует;929932634;"{""coordinates"":[37.878113,55.710847],""type"":""Point""}";
1104;Улица Дмитриевского, вход-выход 3;да;Восточный административный округ;район Косино-Ухтомский;37.879491;55.710886;подземный;улица Дмитриевского;Некрасовская линия;не является объектом культурного наследия;"открытие в 05:30:00, закрытие в 01:00:00, первый поезд по 1 пути в 05:35:00, по 2 пути в 05:44:00; последний поезд по 1 пути в 01:07:20, по 2 пути в 01:07:55";"открытие в 05:30:00, закрытие в 01:00:00, первый поезд по 1 пути в 05:35:00, по 2 пути в 05:44:00; последний поезд по 1 пути в 01:07:20, по 2 пути в 01:07:55";;;;;действует;929932641;"{""coordinates"":[37.879491,55.710886],""type"":""Point""}";
1106;Филатов луг, вход-выход 1;да;Новомосковский административный округ;поселение Сосенское;37.409191;55.601421;наземный отдельностоящий;Филатов луг;Сокольническая линия;не является объектом культурного наследия;"открытие в 05:30:00, закрытие в 01:00:00, первый поезд по 1 пути в 05:46:45, по 2 пути в 05:51:30; последний поезд по 1 пути в 01:57:10, по 2 пути в 01:11:45";"открытие в 05:30:00, закрытие в 01:00:00, первый поезд по 1 пути в 05:46:45, по 2 пути в 05:51:30; последний поезд по 1 пути в 01:57:10, по 2 пути в 01:11:45";4;;4;;действует;930071451;"{""coordinates"":[37.409191,55.601421],""type"":""Point""}";
1107;Филатов луг, вход-выход 2;да;Новомосковский административный округ;поселение Сосенское;37.406981;55.600717;наземный отдельностоящий;Филатов луг;Сокольническая линия;не является объектом культурного наследия;"открытие в 05:30:00, закрытие в 01:00:00, первый поезд по 1 пути в 05:46:45, по 2 пути в 05:51:30; последний поезд по 1 пути в 01:57:10, по 2 пути в 01:11:45";"открытие в 05:30:00, закрытие в 01:00:00, первый поезд по 1 пути в 05:46:45, по 2 пути в 05:51:30; последний поезд по 1 пути в 01:57:10, по 2 пути в 01:11:45";4;;4;;действует;930071455;"{""coordinates"":[37.406981,55.600717],""type"":""Point""}";
1108;Прокшино, вход-выход 2 АА;да;Новомосковский административный округ;поселение Сосенское;37.433688;55.586903;наземный отдельностоящий;Прокшино;Сокольническая линия;не является объектом культурного наследия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:50:25, по 2 пути в 05:49:30; последний поезд по 1 пути в 02:00:30, по 2 пути в 01:08:25";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:50:25, по 2 пути в 05:49:30; последний поезд по 1 пути в 02:00:30, по 2 пути в 01:08:25";4;;4;;действует;930071460;"{""coordinates"":[37.433688,55.586903],""type"":""Point""}";
1109;Прокшино, вход-выход 1 АА;да;Новомосковский административный округ;поселение Сосенское;37.432658;55.585967;наземный отдельностоящий;Прокшино;Сокольническая линия;не является объектом культурного наследия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:50:25, по 2 пути в 05:49:30; последний поезд по 1 пути в 02:00:30, по 2 пути в 01:08:25";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:50:25, по 2 пути в 05:49:30; последний поезд по 1 пути в 02:00:30, по 2 пути в 01:08:25";4;;4;;действует;930071468;"{""coordinates"":[37.432658,55.585967],""type"":""Point""}";
1110;Ольховая, вход-выход 1;да;Новомосковский административный округ;поселение Сосенское;37.459612;55.568309;подземный;Ольховая;Сокольническая линия;не является объектом культурного наследия;"открытие в 05:30:00, закрытие в 01:00:00, первый поезд по 1 пути в 05:54:10, по 2 пути в 05:45:10; последний поезд по 1 пути в 02:03:55, по 2 пути в 01:04:55";"открытие в 05:30:00, закрытие в 01:00:00, первый поезд по 1 пути в 05:54:10, по 2 пути в 05:45:10; последний поезд по 1 пути в 02:03:55, по 2 пути в 01:04:55";4;;4;;действует;930071478;"{""coordinates"":[37.459612,55.568309],""type"":""Point""}";
1111;Коммунарка, вход-выход 2;да;Новомосковский административный округ;поселение Сосенское;37.470416;55.559825;подземный;Коммунарка;Сокольническая линия;не является объектом культурного наследия;"открытие в 05:30:00, закрытие в 01:00:00, первый поезд по 1 пути в 05:56:00, по 2 пути в 05:43:00; последний поезд по 1 пути в 02:05:30, по 2 пути в 01:03:00";"открытие в 05:30:00, закрытие в 01:00:00, первый поезд по 1 пути в 05:56:00, по 2 пути в 05:43:00; последний поезд по 1 пути в 02:05:30, по 2 пути в 01:03:00";7;0;7;;действует;930071482;"{""coordinates"":[37.470416,55.559825],""type"":""Point""}";
1112;Коммунарка, вход-выход 1;да;Новомосковский административный округ;поселение Сосенское;37.469832;55.560132;подземный;Коммунарка;Сокольническая линия;не является объектом культурного наследия;"открытие в 05:30:00, закрытие в 01:00:00, первый поезд по 1 пути в 05:56:00, по 2 пути в 05:43:00; последний поезд по 1 пути в 02:05:30, по 2 пути в 01:03:01";"открытие в 05:30:00, закрытие в 01:00:00, первый поезд по 1 пути в 05:56:00, по 2 пути в 05:43:00; последний поезд по 1 пути в 02:05:30, по 2 пути в 01:03:01";7;0;7;;действует;930071489;"{""coordinates"":[37.469832,55.560132],""type"":""Point""}";
1113;Коммунарка, вход-выход 3;да;Новомосковский административный округ;поселение Сосенское;37.468834;55.559688;подземный;Коммунарка;Сокольническая линия;не является объектом культурного наследия;"открытие в 05:30:00, закрытие в 01:00:00, первый поезд по 1 пути в 05:56:00, по 2 пути в 05:43:00; последний поезд по 1 пути в 02:05:30, по 2 пути в 01:03:00";"открытие в 05:30:00, закрытие в 01:00:00, первый поезд по 1 пути в 05:56:00, по 2 пути в 05:43:00; последний поезд по 1 пути в 02:05:30, по 2 пути в 01:03:00";5;;5;;действует;930071511;"{""coordinates"":[37.468834,55.559688],""type"":""Point""}";
1114;Коммунарка, вход-выход 4;да;Новомосковский административный округ;поселение Сосенское;37.468212;55.559439;подземный;Коммунарка;Сокольническая линия;не является объектом культурного наследия;открытие в 05:30:00, закрытие в 01:00:00, первый поезд по 1 пути в 05:56:00, по 2 пути в 05:43:00, последний поезд по 1 пути в 05:05:30, по 2 пути в 01:03:00;открытие в 05:30:00, закрытие в 01:00:00, первый поезд по 1 пути в 05:56:00, по 2 пути в 05:43:00, последний поезд по 1 пути в 05:05:30, по 2 пути в 01:03:00;5;;5;;действует;930071523;"{""coordinates"":[37.468212,55.559439],""type"":""Point""}";
1115;Косино, вход-выход 5 в вестибюль 1;да;Юго-Восточный административный округ;район Выхино-Жулебино;37.850991;55.702815;подземный;Косино;Некрасовская линия;не является объектом культурного наследия;открытие в 05:30:00, закрытие в 01:00:00, первый поезд по 2 пути в 05:40:00, последний поезд по 2 пути в 00:35:50;открытие в 05:30:00, закрытие в 01:00:00, первый поезд по 2 пути в 05:40:00, последний поезд по 2 пути в 00:35:50;3;;3;;действует;930238047;"{""coordinates"":[37.850991,55.702815],""type"":""Point""}";
1116;Косино, вход-выход 7 в вестибюль 2;да;Юго-Восточный административный округ;район Выхино-Жулебино;37.850286;55.704281;подземный;Косино;Некрасовская линия;не является объектом культурного наследия;открытие в 05:30:00, закрытие в 01:00:00, первый поезд по 2 пути в 05:40:00, последний поезд по 2 пути в 00:35:50;открытие в 05:30:00, закрытие в 01:00:00, первый поезд по 2 пути в 05:40:00, последний поезд по 2 пути в 00:35:50;6;;6;"RepairOfEscalators:29.06.2022-30.10.2022

";действует;930240593;"{""coordinates"":[37.850286,55.704281],""type"":""Point""}";
911;Спортивная, выход из северного вестибюля;да;Центральный административный округ;район Хамовники;37.5655148;55.7239984;наземный отдельностоящий;Спортивная;Сокольническая линия;не является объектом культурного наследия;"открытие в 05:40:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:49:25, по 2 пути в 05:46:40; последний поезд по 1 пути в 01:32:25, по 2 пути в 01:14:30";"открытие в 05:40:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:49:25, по 2 пути в 05:46:40; последний поезд по 1 пути в 01:32:25, по 2 пути в 01:14:30";;6;6;;действует;1032937413;"{""coordinates"":[37.5655148,55.7239984],""type"":""Point""}";
912;Кропоткинская, выход из южного вестибюля;да;Центральный административный округ;район Хамовники;37.6016736;55.7450636;наземный отдельностоящий;Кропоткинская;Сокольническая линия;объект культурного наследия регионального значения;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:42:35, по 2 пути в 05:53:00; последний поезд по 1 пути в 01:26:40, по 2 пути в 01:20:15";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:42:35, по 2 пути в 05:53:00; последний поезд по 1 пути в 01:26:40, по 2 пути в 01:20:15";;4;4;;действует;1032937415;"{""coordinates"":[37.6016736,55.7450636],""type"":""Point""}";
924;Комсомольская, вход 1 Сокольнической линии с Ярославского вокзала;да;Центральный административный округ;Красносельский район;37.6568976;55.7774812;подземный;Комсомольская;Сокольническая линия;объект культурного наследия регионального значения;"открытие в 05:20:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:31:20, по 2 пути в 05:56:35; последний поезд по 1 пути в 01:16:05, по 2 пути в 01:31:00";"открытие в 05:20:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:31:20, по 2 пути в 05:56:35; последний поезд по 1 пути в 01:16:05, по 2 пути в 01:31:00";;8;8;;действует;1032937417;"{""coordinates"":[37.6568976,55.7774812],""type"":""Point""}";
921;Октябрьская, выход 2 из вестибюля Кольцевой линии;да;Центральный административный округ;район Якиманка;37.6109171;55.7294594;наземный, встроенный в здание;Октябрьская;Кольцевая линия;выявленный объект культурного наследия;"открытие в 05:35:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:55:15, по 2 пути в 05:41:50; последний поезд по 1 пути в 01:39:25, по 2 пути в 01:20:30";"открытие в 05:35:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:56:15, по 2 пути в 05:49:40; последний поезд по 1 пути в 01:37:25, по 2 пути в 01:27:00";;2;2;"RepairOfEscalators:29.08.2022-21.10.2022

";действует;1032937419;"{""coordinates"":[37.6109171,55.7294594],""type"":""Point""}";
